P.x,P.y,P.z,V.x,V.y,V.z,V.Escalar,veiculo,tempo
-51.339599609375,206.60609436035156,0.2606072425842285,0.0,0.0,-0.4899999797344208,0.4899999797344208,0,0
-51.19005584716797,206.62896728515625,0.009918040595948696,0.5711529850959778,0.07958217710256577,-0.027605051174759865,0.5773310091678703,0,1
-47.8561897277832,207.0565948486328,-0.0014528846368193626,6.303137302398682,0.543106734752655,0.00012920379231218249,6.326492297862776,0,2
-39.99047088623047,207.4881134033203,0.002634830307215452,7.836683750152588,0.1906365007162094,-2.6416778382554185e-06,7.839002135177534,0,3
-31.938270568847656,207.5768280029297,0.0013121605152264237,8.073561668395996,0.022864770144224167,8.754729606152978e-06,8.073594045478353,0,4
-23.865251541137695,207.58370971679688,0.001257572090253234,8.091690063476562,-0.009892814792692661,-1.1920928955078125e-06,8.09169611089982,0,5
-15.800509452819824,207.56922912597656,0.0013493156293407083,8.072919845581055,-0.01784360781311989,-1.659393319641822e-06,8.072939565456872,0,6
-7.736720561981201,207.55044555664062,0.0013470649719238281,8.072808265686035,-0.02020251378417015,-1.2111663636460435e-06,8.07283354443119,0,7
0.32769355177879333,207.52980041503906,0.0013408088125288486,8.074132919311523,-0.020783018320798874,-1.8787383169183158e-06,8.074159667269658,0,8
8.392130851745605,207.50831604003906,0.0013413047417998314,8.074055671691895,-0.020796172320842743,-9.91821252682712e-07,8.074082453775429,0,9
16.45652961730957,207.48849487304688,0.001341762486845255,8.07397747039795,-0.017932116985321045,-2.8610228852699038e-08,8.07399738378167,0,10
24.520910263061523,207.47091674804688,0.001341648050583899,8.073986053466797,-0.017765142023563385,-1.7452239262638614e-06,8.074005597709881,0,11
32.586360931396484,207.45132446289062,0.015532779507339,8.071457862854004,-0.021828629076480865,0.03405064344406128,8.071559202978941,0,12
40.648799896240234,207.42982482910156,0.07615529745817184,8.066070556640625,-0.021009055897593498,0.0870663970708847,8.066567805618039,0,13
48.70710754394531,207.40939331054688,0.18507902324199677,8.060643196105957,-0.01994403265416622,0.13728637993335724,8.061836890528298,0,14
56.76115417480469,207.38937377929688,0.3413655459880829,8.057951927185059,-0.01863078959286213,0.1778925061225891,8.05993685526635,0,15
154.12709045410156,-140.75875854492188,8.290895462036133,-3.372705240090035e-11,1.939051808008685e-09,-0.4899999797344208,0.4899999797344208,1,0
154.13037109375,-140.9434814453125,7.921448707580566,0.02373756282031536,-1.2845946550369263,-0.0484449602663517,1.2857269592776284,1,1
154.1722869873047,-143.31382751464844,7.75619649887085,0.05581764876842499,-3.414602518081665,-0.36372846364974976,3.434373940279755,1,2
154.253662109375,-148.005859375,7.023252964019775,0.09284278005361557,-6.623128890991211,-1.4888710975646973,6.789049508852772,1,3
154.37815856933594,-155.88377380371094,5.218282222747803,0.13769207894802094,-7.45525598526001,-1.7499065399169922,7.6591105105491515,1,4
154.50328063964844,-162.68304443359375,3.576958179473877,0.14429418742656708,-7.97518253326416,-1.9396921396255493,8.208944076306768,1,5
154.6392364501953,-170.2883758544922,1.7831209897994995,0.10879009962081909,-6.135402679443359,-1.2507729530334473,6.262542159916871,1,6
154.7530975341797,-176.78404235839844,0.6793539524078369,0.11691603064537048,-6.754881858825684,-0.8209744691848755,6.805593094210642,1,7
154.87289428710938,-182.19784545898438,0.16567596793174744,0.28036653995513916,-5.044517517089844,-0.3771917521953583,5.06636319216032,1,8
155.49630737304688,-187.6063995361328,-0.034614142030477524,1.4291077852249146,-4.201056957244873,0.01803002320230007,4.437516614227229,1,9
157.94598388671875,-191.40878295898438,-0.020983124151825905,4.438146114349365,-3.659144878387451,0.0027223776560276747,5.752085672578564,1,10
164.5563507080078,-193.83596801757812,-0.01956195756793022,8.287525177001953,-0.3436584770679474,0.00013447761011775583,8.294647353949783,1,11
172.4337615966797,-193.90975952148438,-0.01937686838209629,8.04376220703125,0.011599061079323292,-3.089904794251197e-06,8.043770569918793,1,12
180.3479766845703,-193.90158081054688,-0.01916530542075634,7.96218729019165,0.004174504894763231,-1.4400482086784905e-06,7.962188384519839,1,13
188.2550811767578,-193.89979553222656,-0.01908615045249462,7.927256107330322,0.0005568131455220282,-1.7166136956348055e-07,7.927256126885696,1,14
196.1595458984375,-193.8767852783203,-0.019057463854551315,7.912714004516602,0.05192551389336586,9.53674295089968e-09,7.912884377789571,1,15
120.0756607055664,8.870759963989258,0.26060721278190613,0.0,0.0,-0.4899999797344208,0.4899999797344208,2,0
120.25196075439453,8.861313819885254,0.011949710547924042,0.9064077734947205,-0.06813371926546097,-0.027140602469444275,0.9093700390132751,2,1
123.77753448486328,8.743916511535645,0.0021698952186852694,6.257964134216309,-0.24683038890361786,-0.0005788516718894243,6.26283008559974,2,2
131.7421875,8.566421508789062,0.005072955973446369,7.882914066314697,-0.011092583648860455,-8.449554115941282e-06,7.882921870879193,2,3
139.7802734375,8.434208869934082,0.004064731299877167,7.974379539489746,-0.9369768500328064,-6.071090683690272e-05,8.029237489389383,2,4
147.77642822265625,7.263419151306152,0.0038816642481833696,7.97053337097168,-1.2802642583847046,-3.14712519866589e-06,8.072699597351583,2,5
155.75108337402344,6.010280132293701,0.003988170530647039,7.985260963439941,-0.8878830671310425,-3.360748087288812e-05,8.034471295378761,2,6
163.80514526367188,5.5662055015563965,0.003956356085836887,8.059672355651855,-0.049008674919605255,4.882812390860636e-06,8.059821358485555,2,7
171.8793182373047,5.601782321929932,0.003953647334128618,8.059075355529785,0.09802472591400146,-1.9741057712963084e-06,8.059671484186062,2,8
